Company Name,CIK
ASPEN INSURANCE HOLDINGS LTD,1267395
ASPEN TECHNOLOGY INC /DE/,929940
ASPIRITY HOLDINGS LLC,1541354
"ASSEMBLY BIOSCIENCES, INC.",1426800
"ASSET PROTECTION OF AMERICA, INC.",1503455
ASSOCIATED BANC-CORP,7789
"ASSOCIATED MATERIALS, LLC",802967
ASSURANT INC,1267238
ASSURED GUARANTY LTD,1273813
ASTEA INTERNATIONAL INC,945989
ASTEC INDUSTRIES INC,792987
ASTERIKO CORP.,1614556
ASTORIA FINANCIAL CORP,910322
ASTRONICS CORP,8063
ASTROTECH Corp,1001907
ASURE SOFTWARE INC,884144
AT&T INC.,732717
"ATEL 12, LLC",1394922
"ATEL 14, LLC",1463389
"ATEL 15, LLC",1519117
"ATEL 16, LLC",1575048
"ATEL 17, LLC",1640982
ATEL CAPITAL EQUIPMENT FUND IX LLC,1125264
ATEL CAPITAL EQUIPMENT FUND VIII LLC,1069152
ATEL CAPITAL EQUIPMENT FUND X LLC,1186258
"ATEL Capital Equipment Fund XI, LLC",1297667
"ATEL Growth Capital Fund 8, LLC",1537069
ATHENA SILVER CORP,1304409
ATHENAHEALTH INC,1131096
"ATHERSYS, INC / NEW",1368148
ATI Modular Technology Corp.,1679426
ATLANTIC AMERICAN CORP,8177
ATLANTIC CITY ELECTRIC CO,8192
ATLANTIC POWER CORP,1419242
ATLANTICA INC,1062506
ATLAS AIR WORLDWIDE HOLDINGS INC,1135185
ATLAS AMERICA PUBLIC #9 LTD.,1121745
"ATN International, Inc.",879585
ATOSSA GENETICS INC,1488039
ATRION CORP,701288
"ATRM Holdings, Inc.",908598
"AUBURN NATIONAL BANCORPORATION, INC",750574
AUDIOEYE INC,1362190
AURORA DIAGNOSTICS HOLDINGS LLC,1367832
AUSCRETE Corp,1492091
AUTOBYTEL INC,1023364
AUTOLIV INC,1034670
AUTOMATIC DATA PROCESSING INC,8670
"AUTONATION, INC.",350698
AUXILIO INC,1011432
"AV Homes, Inc.",39677
AVALON HOLDINGS CORP,1061069
AVALONBAY COMMUNITIES INC,915912
AVEO PHARMACEUTICALS INC,1325879
"AVID TECHNOLOGY, INC.",896841
"AVIS BUDGET GROUP, INC.",723612
AVISTA CORP,104918
AVNET INC,8858
AVON PRODUCTS INC,8868
AVX Corp,859163
AWARE INC /MA/,1015739
AXA EQUITABLE LIFE INSURANCE CO,727920
AXCELIS TECHNOLOGIES INC,1113232
"AXIM BIOTECHNOLOGIES, INC.",1514946
"AXIOM HOLDINGS, INC.",1584584
AXIS CAPITAL HOLDINGS LTD,1214816
AXT INC,1051627
"AYTU BIOSCIENCE, INC",1385818
"AZURE MIDSTREAM PARTNERS, LP",1575599
AZZ INC,8947
AbbVie Inc.,1551152
"Abtech Holdings, Inc.",1405858
"Acacia Communications, Inc.",1651235
"Acacia Diversified Holdings, Inc.",1001463
"Acadia Healthcare Company, Inc.",1520697
"Accelerate Diagnostics, Inc",727207
Accelerize Inc.,1352952
"Accretive Health, Inc.",1472595
Accurexa Inc.,1562107
Achaogen Inc,1301501
"Aclaris Therapeutics, Inc.",1557746
Acology Inc.,1096950
"Actinium Pharmaceuticals, Inc.",1388320
"Activision Blizzard, Inc.",718877
Actua Corp,1085621
Adama Technologies Corp,1422222
Adamas Pharmaceuticals Inc,1328143
Adamis Pharmaceuticals Corp,887247
Adaptimmune Therapeutics PLC,1621227
Addus HomeCare Corp,1468328
Adeptus Health Inc.,1602367
AdvanSix Inc.,1673985
AdvanSource Biomaterials Corp,1011060
"AdvancePierre Foods Holdings, Inc.",1669792
"Advanced Disposal Services, Inc.",1585790
"Advanced Emissions Solutions, Inc.",1515156
Advanced Environmental Petroleum Producers Inc.,1584137
"Advanced Voice Recognition Systems, Inc",1342936
"Adverum Biotechnologies, Inc.",1501756
"Aegerion Pharmaceuticals, Inc.",1338042
Aegion Corp,353020
"Aeglea BioTherapeutics, Inc.",1636282
"AeroGrow International, Inc.",1316644
"Affinion Group Holdings, Inc.",1404624
"Affinion Group, Inc.",1361394
