"ACCELERA INNOVATIONS, INC.",10-Q,1444144,2015-08-19,http://www.sec.gov/Archives/edgar/data/1444144/0001493152-15-003910-index.htm
"ACCELERA INNOVATIONS, INC.",NT 10-Q,1444144,2015-08-14,http://www.sec.gov/Archives/edgar/data/1444144/0001493152-15-003672-index.htm
ACCELERON PHARMA INC,10-Q,1280600,2015-08-06,http://www.sec.gov/Archives/edgar/data/1280600/0001280600-15-000045-index.htm
ACCESS NATIONAL CORP,10-Q,1176316,2015-08-10,http://www.sec.gov/Archives/edgar/data/1176316/0001144204-15-047610-index.htm
"ACCESS US OIL & GAS, INC.",10-Q,1550956,2015-08-14,http://www.sec.gov/Archives/edgar/data/1550956/0001096906-15-000942-index.htm
ACCO BRANDS Corp,10-Q,712034,2015-07-29,http://www.sec.gov/Archives/edgar/data/712034/0000712034-15-000040-index.htm
ACCURAY INC,10-K,1138723,2015-08-28,http://www.sec.gov/Archives/edgar/data/1138723/0001047469-15-007028-index.htm
ACCURIDE CORP,10-Q,817979,2015-07-27,http://www.sec.gov/Archives/edgar/data/817979/0000817979-15-000034-index.htm
ACE Ltd,10-Q,896159,2015-08-04,http://www.sec.gov/Archives/edgar/data/896159/0000896159-15-000015-index.htm
ACELRX PHARMACEUTICALS INC,10-Q,1427925,2015-08-04,http://www.sec.gov/Archives/edgar/data/1427925/0001437749-15-014611-index.htm
ACETO CORP,10-K,2034,2015-09-11,http://www.sec.gov/Archives/edgar/data/2034/0001571049-15-007509-index.htm
ACHILLION PHARMACEUTICALS INC,10-Q,1070336,2015-08-10,http://www.sec.gov/Archives/edgar/data/1070336/0001193125-15-284856-index.htm
"ACI WORLDWIDE, INC.",10-Q,935036,2015-07-30,http://www.sec.gov/Archives/edgar/data/935036/0001193125-15-269560-index.htm
ACME UNITED CORP,10-Q,2098,2015-08-14,http://www.sec.gov/Archives/edgar/data/2098/0001026608-15-000057-index.htm
ACNB CORP,10-Q,715579,2015-07-31,http://www.sec.gov/Archives/edgar/data/715579/0001104659-15-055055-index.htm
ACORDA THERAPEUTICS INC,10-Q,1008848,2015-08-07,http://www.sec.gov/Archives/edgar/data/1008848/0001008848-15-000038-index.htm
"ACORN ENERGY, INC.",10-Q,880984,2015-08-14,http://www.sec.gov/Archives/edgar/data/880984/0001493152-15-003652-index.htm
ACQUIRED SALES CORP,10-Q,1391135,2015-08-12,http://www.sec.gov/Archives/edgar/data/1391135/0001445866-15-000903-index.htm
ACRE REALTY INVESTORS INC,10-Q,1011109,2015-08-13,http://www.sec.gov/Archives/edgar/data/1011109/0001552781-15-000794-index.htm
ACTIVE POWER INC,10-Q,1044435,2015-07-28,http://www.sec.gov/Archives/edgar/data/1044435/0001044435-15-000035-index.htm
"ACTIVECARE, INC.",10-Q,1429896,2015-08-19,http://www.sec.gov/Archives/edgar/data/1429896/0001096906-15-000958-index.htm
"ACTIVECARE, INC.",NT 10-Q,1429896,2015-08-14,http://www.sec.gov/Archives/edgar/data/1429896/0001096906-15-000936-index.htm
ACTUANT CORP,10-Q,6955,2015-07-09,http://www.sec.gov/Archives/edgar/data/6955/0000006955-15-000037-index.htm
ACUCELA INC.,10-Q,1400482,2015-08-07,http://www.sec.gov/Archives/edgar/data/1400482/0001400482-15-000085-index.htm
ACUITY BRANDS INC,10-Q,1144215,2015-07-01,http://www.sec.gov/Archives/edgar/data/1144215/0001144215-15-000077-index.htm
